id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_tanaman,satuan,tahun
127,32,JAWA BARAT,3271,KOTA BOGOR,0,KILOGRAM/HEKTAR,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KILOGRAM/HEKTAR,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,657,KILOGRAM/HEKTAR,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,0,KILOGRAM/HEKTAR,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,0,KILOGRAM/HEKTAR,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM/HEKTAR,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,KILOGRAM/HEKTAR,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KILOGRAM/HEKTAR,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,0,KILOGRAM/HEKTAR,2021
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,615,KILOGRAM/HEKTAR,2022
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,350,KILOGRAM/HEKTAR,2022
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,351,KILOGRAM/HEKTAR,2022
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,955,KILOGRAM/HEKTAR,2022
140,32,JAWA BARAT,3205,KABUPATEN GARUT,803,KILOGRAM/HEKTAR,2022
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,915,KILOGRAM/HEKTAR,2022
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,798,KILOGRAM/HEKTAR,2022
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,962,KILOGRAM/HEKTAR,2022
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2022
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,333,KILOGRAM/HEKTAR,2022
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,459,KILOGRAM/HEKTAR,2022
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2022
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,728,KILOGRAM/HEKTAR,2022
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2022
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2022
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2022
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,739,KILOGRAM/HEKTAR,2022
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KILOGRAM/HEKTAR,2022
154,32,JAWA BARAT,3271,KOTA BOGOR,0,KILOGRAM/HEKTAR,2022
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KILOGRAM/HEKTAR,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,788,KILOGRAM/HEKTAR,2022
157,32,JAWA BARAT,3274,KOTA CIREBON,0,KILOGRAM/HEKTAR,2022
158,32,JAWA BARAT,3275,KOTA BEKASI,0,KILOGRAM/HEKTAR,2022
159,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM/HEKTAR,2022
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,KILOGRAM/HEKTAR,2022
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KILOGRAM/HEKTAR,2022
162,32,JAWA BARAT,3279,KOTA BANJAR,0,KILOGRAM/HEKTAR,2022
